,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
19,20,"Девочка, танцуй",Artik & Asti,02/09/20 - 08/09/20,46.214,,-1,2,19
20,21,Покинула чат,Клава Кока,02/09/20 - 08/09/20,46.571000000000005,,-1,2,20
21,22,Твой поцелуй,"Асия, NЮ",02/09/20 - 08/09/20,47.357,,-1,2,21
22,23,Французский поцелуй,Миша Марвин & Ханна,02/09/20 - 08/09/20,47.643,,-1,2,22
23,24,ЯТЛ,Zivert,02/09/20 - 08/09/20,48.286,,-1,2,23
24,25,Coco L'Eau,"Егор Крид, The Limba",02/09/20 - 08/09/20,48.714,,19,2,25
25,26,Fendi,Rakhim,02/09/20 - 08/09/20,49.571000000000005,,-2,2,24
26,27,Двигаться,RaiM,02/09/20 - 08/09/20,51.357,,0,2,27
27,28,Там ревели горы,Miyagi & Andy Panda,02/09/20 - 08/09/20,51.643,,-2,2,26
28,29,Ананасовый сироп,Natan & Ганвест,02/09/20 - 08/09/20,52.357,,-1,2,28
29,30,Любимка,NILETTO,02/09/20 - 08/09/20,54.0,,-1,2,29
30,31,Ты беспощадна,JONY,02/09/20 - 08/09/20,55.428999999999995,,-1,2,30
31,32,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,02/09/20 - 08/09/20,55.928999999999995,,-1,2,31
32,33,Если тебе будет грустно,"Rauf & Faik, NILETTO",02/09/20 - 08/09/20,56.428999999999995,,17,2,33
33,34,UNO,Little Big,02/09/20 - 08/09/20,57.214,,-2,2,32
34,35,August,Intelligency,02/09/20 - 08/09/20,58.357,,-2,2,33
35,36,Credo,Zivert,02/09/20 - 08/09/20,58.928999999999995,,0,2,36
36,37,Комета,JONY,02/09/20 - 08/09/20,59.214,,-2,2,35
37,38,Тепло,Макс Корж,02/09/20 - 08/09/20,59.643,,-4,2,34
38,39,Все мимо,Artik & Asti,02/09/20 - 08/09/20,60.214,,-2,2,37
39,40,Если тебе будет грустно,"NILETTO, Rauf & Faik",02/09/20 - 08/09/20,60.571000000000005,,12,2,40
40,41,Beverly Hills,Zivert,02/09/20 - 08/09/20,61.071000000000005,,-3,2,38
41,42,Пикачу,Mia Boyka & ЕГОР ШИП,02/09/20 - 08/09/20,62.143,,-1,2,41
42,43,Луна не знает пути,"Тайпан, Agunda",02/09/20 - 08/09/20,62.714,,-3,2,40
43,44,Зачем топтать мою любовь,"DJ Nejtrino, Elia",02/09/20 - 08/09/20,62.857,,7,2,44
44,45,Прятки,HammAli & Navai,02/09/20 - 08/09/20,63.0,,-3,2,42
45,46,Малиновый закат (Remix),"Lvnx, ANAMUN",02/09/20 - 08/09/20,64.143,,-3,2,43
46,47,На своём вайбе,"Jah Khalib, GUF",02/09/20 - 08/09/20,64.143,,-8,2,39
47,48,Океан,Мари Краймбрери,02/09/20 - 08/09/20,64.714,,-3,2,45
48,49,Life,Zivert,02/09/20 - 08/09/20,67.143,,-2,2,47
49,50,F..k that,Bastard!,02/09/20 - 08/09/20,68.714,,-1,2,49
50,51,Грустный дэнс,"Artik & Asti, Артём Качер",02/09/20 - 08/09/20,68.929,,-3,2,48
51,52,На тебя смотрю,"Jah Khalib, ВесЪ",02/09/20 - 08/09/20,70.643,,-6,2,46
52,53,Kings & Queens,Ava Max,02/09/20 - 08/09/20,72.929,,0,2,53
53,54,Hypnodancer,Little Big,02/09/20 - 08/09/20,73.357,,0,2,54
54,55,Выхода нет,Сплин,02/09/20 - 08/09/20,73.429,,3,2,55
55,56,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",02/09/20 - 08/09/20,74.643,,1,2,56
56,57,Зелёные волны,Zivert,02/09/20 - 08/09/20,74.643,,2,2,57
57,58,Не смогу,"VERBEE, KARA KROSS",02/09/20 - 08/09/20,75.071,,-3,2,55
58,59,Вали,Канги,02/09/20 - 08/09/20,75.571,,-3,2,56
